<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20190517;140000;82.0000000;82.0000000;82.0000000;82.0000000;100
20190517;160000;83.5000000;84.0000000;83.5000000;84.0000000;600
20190517;190000;83.0000000;85.0000000;83.0000000;85.0000000;600
20190520;110000;76.0000000;82.0000000;72.5000000;82.0000000;700
20190520;120000;80.0000000;80.5000000;80.0000000;80.5000000;400
20190520;130000;90.0000000;90.0000000;82.0000000;82.0000000;200
20190520;160000;80.5000000;80.5000000;80.5000000;80.5000000;400
20190520;180000;80.5000000;80.5000000;80.5000000;80.5000000;200
20190520;190000;80.5000000;80.5000000;80.5000000;80.5000000;300
20190521;150000;80.0000000;80.0000000;80.0000000;80.0000000;200
20190521;190000;85.0000000;85.0000000;85.0000000;85.0000000;100
20190522;180000;80.5000000;80.5000000;73.0000000;73.0000000;3200
20190522;190000;75.0000000;76.5000000;75.0000000;76.5000000;200
20190523;110000;79.0000000;79.0000000;76.0000000;76.0000000;300
20190523;130000;75.0000000;75.0000000;75.0000000;75.0000000;100
20190524;140000;75.5000000;75.5000000;75.5000000;75.5000000;100
20190524;190000;76.5000000;76.5000000;76.5000000;76.5000000;100
20190529;180000;74.5000000;74.5000000;74.5000000;74.5000000;100
20190603;150000;73.0000000;74.0000000;73.0000000;74.0000000;200
20190607;110000;75.0000000;75.0000000;75.0000000;75.0000000;100
20190607;130000;78.0000000;78.0000000;78.0000000;78.0000000;100
20190607;160000;76.0000000;76.0000000;76.0000000;76.0000000;100
20190607;170000;76.0000000;76.0000000;76.0000000;76.0000000;400
20190607;180000;74.5000000;74.5000000;74.0000000;74.0000000;200
20190607;190000;74.0000000;74.0000000;72.5000000;73.0000000;1800
20190611;190000;72.5000000;72.5000000;72.5000000;72.5000000;100
20190613;140000;72.0000000;72.0000000;72.0000000;72.0000000;100
20190613;190000;74.5000000;77.0000000;74.5000000;77.0000000;500
20190617;110000;74.0000000;74.0000000;74.0000000;74.0000000;100
20190617;190000;76.0000000;76.0000000;76.0000000;76.0000000;400
20190619;120000;72.5000000;74.0000000;72.0000000;72.0000000;500
20190619;130000;74.0000000;74.0000000;74.0000000;74.0000000;100
20190620;130000;76.0000000;76.0000000;74.0000000;74.0000000;200
20190624;190000;72.5000000;72.5000000;72.5000000;72.5000000;200
20190626;110000;75.0000000;75.0000000;75.0000000;75.0000000;100
20190626;120000;75.0000000;75.0000000;75.0000000;75.0000000;200
20190626;140000;73.0000000;73.0000000;73.0000000;73.0000000;100
20190626;170000;74.5000000;74.5000000;74.5000000;74.5000000;100
20190626;180000;74.5000000;74.5000000;74.5000000;74.5000000;200
20190628;130000;73.0000000;73.0000000;72.5000000;72.5000000;200
20190628;180000;73.5000000;73.5000000;73.5000000;73.5000000;100
20190702;150000;76.0000000;76.0000000;76.0000000;76.0000000;100
20190703;110000;74.5000000;74.5000000;74.5000000;74.5000000;100
20190703;120000;77.0000000;77.0000000;77.0000000;77.0000000;100
20190708;130000;77.0000000;77.0000000;77.0000000;77.0000000;100
20190709;120000;77.0000000;77.5000000;76.0000000;77.5000000;300
20190709;130000;78.0000000;78.5000000;78.0000000;78.0000000;400
20190709;160000;79.0000000;79.0000000;79.0000000;79.0000000;100
20190709;190000;76.0000000;76.0000000;76.0000000;76.0000000;1300
20190710;160000;79.0000000;79.0000000;79.0000000;79.0000000;100
20190710;180000;78.0000000;78.0000000;78.0000000;78.0000000;100
20190711;110000;79.0000000;79.0000000;79.0000000;79.0000000;100
20190711;140000;79.5000000;79.5000000;79.5000000;79.5000000;100
20190711;150000;75.0000000;76.0000000;75.0000000;76.0000000;200
20190712;110000;75.0000000;75.0000000;75.0000000;75.0000000;100
20190712;130000;74.0000000;74.0000000;74.0000000;74.0000000;100
20190712;150000;78.0000000;78.0000000;78.0000000;78.0000000;100
20190717;130000;79.0000000;79.0000000;79.0000000;79.0000000;100
20190717;170000;77.5000000;77.5000000;77.5000000;77.5000000;300
20190718;110000;85.0000000;85.0000000;75.0000000;75.0000000;400
20190718;150000;79.0000000;79.0000000;79.0000000;79.0000000;100
20190718;180000;76.5000000;76.5000000;76.5000000;76.5000000;100
20190723;120000;80.5000000;82.5000000;79.5000000;82.0000000;900
20190723;130000;82.0000000;82.0000000;81.0000000;81.0000000;500
20190723;150000;81.0000000;81.0000000;81.0000000;81.0000000;100
20190725;180000;84.0000000;84.0000000;84.0000000;84.0000000;100
20190725;190000;80.5000000;80.5000000;80.5000000;80.5000000;100
20190726;130000;83.5000000;83.5000000;83.5000000;83.5000000;100
20190726;150000;80.0000000;80.0000000;80.0000000;80.0000000;100
20190726;180000;83.5000000;83.5000000;83.5000000;83.5000000;100
20190730;110000;76.5000000;76.5000000;76.5000000;76.5000000;400
20190730;130000;82.0000000;82.0000000;82.0000000;82.0000000;100
20190730;140000;81.5000000;81.5000000;81.5000000;81.5000000;200
20190802;160000;79.0000000;79.0000000;79.0000000;79.0000000;100
20190805;110000;75.0000000;78.5000000;75.0000000;75.0000000;2000
20190805;120000;75.5000000;75.5000000;75.5000000;75.5000000;100
20190805;130000;77.0000000;77.0000000;77.0000000;77.0000000;100
20190805;160000;77.0000000;77.0000000;77.0000000;77.0000000;100
20190806;160000;77.5000000;77.5000000;77.5000000;77.5000000;300
20190826;130000;75.0000000;75.0000000;75.0000000;75.0000000;100
20190827;110000;80.0000000;80.0000000;78.0000000;80.0000000;700
20190827;120000;80.5000000;80.5000000;80.5000000;80.5000000;200
20190827;130000;78.5000000;80.5000000;78.5000000;80.5000000;200
20190827;140000;78.0000000;78.0000000;77.5000000;77.5000000;300
20190827;150000;80.0000000;80.0000000;80.0000000;80.0000000;110
20190903;120000;78.0000000;78.5000000;75.5000000;77.5000000;360
20190903;130000;78.0000000;78.0000000;76.5000000;78.0000000;160
20190903;150000;76.5000000;76.5000000;76.5000000;76.5000000;100
20190903;160000;77.5000000;77.5000000;77.5000000;77.5000000;20
20190903;180000;76.5000000;77.5000000;76.0000000;77.0000000;140
20190903;190000;77.0000000;77.0000000;77.0000000;77.0000000;40
20190904;110000;100.0000000;100.0000000;76.5000000;79.5000000;240
20190904;120000;80.0000000;80.0000000;78.5000000;79.5000000;140
20190904;130000;79.5000000;79.5000000;79.5000000;79.5000000;10
20190904;140000;79.5000000;79.5000000;79.5000000;79.5000000;10
20190904;170000;79.5000000;80.0000000;79.0000000;79.0000000;70
20190904;190000;79.0000000;79.0000000;78.5000000;78.5000000;290
20190905;110000;77.0000000;78.5000000;77.0000000;78.0000000;230
20190905;120000;78.5000000;78.5000000;78.5000000;78.5000000;10
20190905;130000;77.5000000;77.5000000;77.5000000;77.5000000;10
